Circle Name,Node ID,Features
7cjRJeFxCSS,103973455051678273599,"['gender:2', 'job_title:events,', 'job_title:lifestyle', 'job_title:photographer', 'last_name:abigail']"
7cjRJeFxCSS,117922865312170219650,"['gender:1', 'job_title:photographer', 'last_name:shawn']"
7cjRJeFxCSS,114801877818306839095,"['gender:1', 'institution:Home', 'job_title:photographer', 'place:Aurora,', 'place:Birmingham,', 'place:Dallas,', 'place:Fort', 'place:Jackson,', 'place:Littleton,', 'place:Navarre,']"
7cjRJeFxCSS,115111902757485641613,"['gender:1', 'job_title:arts']"
7cjRJeFxCSS,105142373281531092539,"['gender:1', 'job_title:and', 'job_title:cook', 'job_title:designer,', 'job_title:maker,', 'job_title:of', 'job_title:photo', 'last_name:justin', 'place:London', 'place:Toronto', 'place:Vancouver', 'university:Simon']"
7cjRJeFxCSS,111444111877686723741,"['gender:1', 'last_name:quentin']"
7cjRJeFxCSS,100771671272095499353,"['gender:1', 'job_title:freelance', 'job_title:photographer', 'job_title:travel', 'last_name:matt', 'place:Buenos', 'place:New', 'place:Sydney']"
7cjRJeFxCSS,112781666749577736636,"['gender:1', 'job_title:/', 'job_title:between', 'job_title:hobbyist', 'job_title:jobs', 'job_title:photography', 'place:Boston,', 'place:Houston,', 'place:Naples,', 'place:Philadelphia,']"
7cjRJeFxCSS,110484786042126682207,"['gender:1', 'last_name:jesse']"
7cjRJeFxCSS,111749793836380057642,"['gender:1', 'job_title:and', 'job_title:leader', 'job_title:photographer,', 'job_title:teacher', 'place:Seattle,']"
7cjRJeFxCSS,102996026951276176445,"['gender:2', 'institution:Photographer', 'job_title:photographer', 'last_name:melissa']"
7cjRJeFxCSS,111641642825562524548,"['gender:1', 'job_title:and', 'job_title:art', 'job_title:fine', 'job_title:photography,', 'last_name:carl', 'place:Edmonton,', 'place:Saint', 'place:Vancouver,', 'place:Winnipeg,']"
7cjRJeFxCSS,118234772739219454819,"['gender:1', 'job_title:manager,', 'job_title:photographer', 'job_title:product', 'place:Helsinki', 'place:San', 'place:Singapore']"
7cjRJeFxCSS,106533383112258363963,"['gender:1', 'job_title:photographer']"
7cjRJeFxCSS,114754986248751812965,"['gender:1', 'job_title:creative', 'job_title:designer', 'job_title:enthusiast', 'job_title:mind', 'job_title:photography', 'job_title:web', 'last_name:ricardo']"
7cjRJeFxCSS,104405539079062799451,"['gender:1', 'job_title:project']"
7cjRJeFxCSS,102536671372339390547,"['job_title:/', 'job_title:artist', 'job_title:freelance', 'job_title:multimedia', 'job_title:photographer', 'last_name:rich', 'place:New']"
7cjRJeFxCSS,104833564316573420990,"['gender:1', 'institution:Freelancer', 'job_title:photographer', 'place:Hamburg']"
7cjRJeFxCSS,103092754229817039243,"['gender:1', 'job_title:-', 'job_title:and', 'job_title:painting', 'job_title:with', 'place:Barcelona', 'place:Berlin', 'place:Bonn', 'place:Hong', 'place:London', 'place:Paris', 'place:Thessaloniki']"
7cjRJeFxCSS,111163922180711177542,"['gender:1', 'job_title:photographer', 'last_name:stan']"
7cjRJeFxCSS,101348397943983026449,"['gender:1', 'job_title:and', 'job_title:geek', 'job_title:photographer', 'job_title:security']"
7cjRJeFxCSS,109123727761757726835,"['gender:2', 'job_title:and', 'job_title:photographer', 'last_name:michelle', 'university:University']"
7cjRJeFxCSS,101145980349117737014,"['gender:1', 'job_title:&', 'job_title:landscape', 'job_title:nature', 'job_title:photographer', 'last_name:jay']"
7cjRJeFxCSS,114611629365777822843,"['gender:1', 'job_title:artist', 'job_title:photographer', 'place:Paris']"
7cjRJeFxCSS,107143498371220240275,"['gender:1', 'last_name:bruce']"
7cjRJeFxCSS,117831026683660485392,"['gender:1', 'last_name:lee']"
7cjRJeFxCSS,102388385704187037545,['gender:1']
7cjRJeFxCSS,116106774324737158094,"['gender:1', 'institution:Photographer', 'job_title:art', 'job_title:fine', 'job_title:photography', 'last_name:keith']"
7cjRJeFxCSS,112458714478562846013,"['gender:1', 'job_title:free', 'job_title:photographer', 'place:Nicosia']"
7cjRJeFxCSS,101384112455887732241,"['gender:1', 'job_title:photographer', 'last_name:mark']"
7cjRJeFxCSS,102100900281506406178,"['gender:1', 'job_title:/', 'job_title:design,', 'job_title:graphic', 'job_title:photography,', 'job_title:web', 'last_name:mike', 'place:Albuquerque']"
7cjRJeFxCSS,115217750279661462986,"['gender:1', 'job_title:and', 'job_title:photography', 'job_title:school']"
7cjRJeFxCSS,114416853067468694914,"['gender:1', 'university:Staffordshire']"
7cjRJeFxCSS,100860607625286470922,"['gender:1', 'job_title:blogger', 'last_name:phil']"
7cjRJeFxCSS,115530776534617554663,"['gender:1', 'job_title:author,', 'job_title:blogger', 'job_title:photographer,', 'job_title:web', 'place:Denton,', 'place:Lubbock,', 'place:Midland,', 'place:San']"
7cjRJeFxCSS,101763511463762540696,"['gender:1', 'job_title:designer', 'job_title:experience', 'job_title:senior', 'job_title:user', 'place:Sebastopol,']"
7cjRJeFxCSS,102920063140431683002,"['gender:1', 'last_name:mark']"
7cjRJeFxCSS,118043858711426094400,"['gender:1', 'last_name:ben', 'university:Mesa']"
7cjRJeFxCSS,109646508394301470481,"['gender:1', 'institution:', 'job_title:photographer', 'last_name:andrew', 'place:Bloomington,', 'place:Boulder,', 'place:Denver,', 'university:Art', 'university:Indiana']"
7cjRJeFxCSS,107948650868331033738,"['gender:1', 'job_title:photographer']"
7cjRJeFxCSS,113088290281047707931,"['gender:2', 'last_name:diana', 'university:University']"
7cjRJeFxCSS,111136943830266615679,"['gender:2', 'university:Brooks']"
7cjRJeFxCSS,111582178452856649868,"['gender:1', 'job_title:design', 'job_title:photography,', 'place:Los', 'place:New', 'place:San', 'place:Seoul']"
7cjRJeFxCSS,101035196437264488455,"['gender:1', 'institution:', 'job_title:composer', 'job_title:enthusiast,', 'job_title:in', 'job_title:information', 'job_title:is', 'job_title:it', 'job_title:my', 'job_title:photographer,', 'job_title:photography', 'job_title:security', 'job_title:special', 'job_title:specialist,', 'job_title:still', 'job_title:street', 'last_name:victor']"
7cjRJeFxCSS,109685346986918673416,"['gender:3', 'job_title:art', 'job_title:design', 'job_title:events,', 'job_title:graphics', 'job_title:photography,', 'job_title:school', 'job_title:weddings,', 'last_name:anna', 'place:Bulgaria', 'place:Europe', 'place:Florida']"
7cjRJeFxCSS,116272754688583808397,"['gender:1', 'job_title:a', 'job_title:also', 'job_title:am', 'job_title:and', 'job_title:check', 'job_title:data', 'job_title:digital', 'job_title:do', 'job_title:i', 'job_title:my', 'job_title:of', 'job_title:on', 'job_title:out', 'job_title:photography', 'job_title:the']"
7cjRJeFxCSS,102306387852716965497,"['gender:1', 'job_title:commercial', 'job_title:consultant', 'job_title:health', 'job_title:media', 'last_name:mark', 'place:Detroit', 'university:UCLA']"
7cjRJeFxCSS,107646974851275524326,"['gender:1', 'job_title:photographe', 'last_name:alexandre', 'place:Bordeaux', 'place:Rouen']"
7cjRJeFxCSS,111236544646879948698,"['gender:1', 'job_title:photography', 'place:Taipei']"
7cjRJeFxCSS,117946466323962104874,"['gender:1', 'job_title:photographer', 'place:', 'place:Colorado', 'place:Las', 'place:Texas']"
