Circle Name,Node ID,Features
6iL52nesi77,115451993522621024283,"['gender:2', 'job_title:photographer', 'place:Baton', 'place:Richmond,', 'place:Roanoke,', 'university:Lynchburg']"
6iL52nesi77,106213073640688349292,"['gender:2', 'job_title:homeschooling', 'job_title:mom', 'job_title:of', 'last_name:angela']"
6iL52nesi77,116941747037230624361,[]
6iL52nesi77,114301518918636810892,[]
6iL52nesi77,116936089053490488674,"['gender:2', 'institution:Stanford', 'job_title:academic', 'job_title:technologist', 'last_name:kimberly']"
6iL52nesi77,108463797808577861961,[]
6iL52nesi77,101696947948900493388,"['gender:2', 'job_title:designer', 'job_title:instructional', 'last_name:leanne', 'place:Arlington,', 'place:Bronx,', 'place:Fairfax,', 'place:Savannah,', 'place:Washington,', 'university:Fordham']"
6iL52nesi77,104226133029319075907,"['gender:1', 'institution:Starbucks', 'job_title:design,', 'job_title:marketing', 'last_name:chase', 'place:Indianapolis']"
6iL52nesi77,102720917233462206601,[]
6iL52nesi77,116194490715887865843,"['gender:1', 'job_title:accountant', 'last_name:jared', 'place:Lewiston,', 'place:Moscow,', 'university:Idaho']"
6iL52nesi77,106632595242559957769,[]
6iL52nesi77,107503635617395328870,"['gender:2', 'university:University']"
6iL52nesi77,102221927960443599155,[]
6iL52nesi77,111586248332282735415,"['gender:1', 'institution:Future', 'job_title:bit', 'job_title:master', 'last_name:chris', 'place:Oakland', 'place:Plano', 'place:Stockholm', 'university:Art']"
6iL52nesi77,101379876584560582171,"['gender:2', 'job_title:blog,', 'job_title:review', 'job_title:the', 'job_title:volunteer', 'job_title:with', 'job_title:write,', 'last_name:grace', 'university:Ashland', 'university:Sinclair', 'university:Wright']"
6iL52nesi77,106653678649405633861,"['gender:1', 'job_title:and', 'job_title:author', 'job_title:certified', 'job_title:engineer,', 'job_title:linux', 'job_title:smartass.', 'job_title:systems', 'last_name:joe', 'place:Albany,', 'place:Guam', 'place:Hoover,', 'place:Kansas', 'place:Long', 'place:Memphis,', 'place:Millington,', 'place:Nashville,', 'place:Oceanside,', 'place:Okinawa,', 'place:Olathe,', 'place:Riverside,', 'place:Saudi', 'place:South', 'place:Thailand']"
6iL52nesi77,108623241107635805071,"['gender:1', 'job_title:developer', 'job_title:software']"
6iL52nesi77,107728981484346651383,"['gender:2', 'job_title:by', 'job_title:photography']"
6iL52nesi77,105803527247686367893,"['gender:1', 'last_name:scott']"
6iL52nesi77,112306395963035726911,"['gender:1', 'job_title:artist', 'job_title:composer,', 'job_title:musician,', 'last_name:james']"
6iL52nesi77,106835527256079594526,"['gender:2', 'job_title:alpine', 'job_title:company', 'job_title:husband.', 'job_title:i', 'job_title:my', 'job_title:of', 'job_title:own', 'job_title:the', 'job_title:with', 'last_name:karen', 'place:Jacksonville,', 'place:Venice,', 'place:Woodland']"
6iL52nesi77,112537342335864964096,"['gender:2', 'place:Canada', 'place:India', 'place:Mumbai', 'place:New', 'place:Toronto']"
6iL52nesi77,103375729945424107539,"['institution:', 'job_title:director', 'job_title:it', 'last_name:corey']"
6iL52nesi77,111062530954653948351,"['gender:2', 'place:United']"
6iL52nesi77,109043804130056015419,"['gender:1', 'job_title:and', 'job_title:by', 'job_title:day.', 'job_title:guy', 'job_title:it', 'job_title:maker,', 'job_title:writer,', 'last_name:michael', 'place:Austin,', 'place:Birmingham,', 'place:Corpus', 'place:Toronto,', 'university:University']"
6iL52nesi77,117777716503182780634,[]
6iL52nesi77,106787788124127706441,"['gender:2', 'job_title:by', 'job_title:care', 'job_title:day', 'job_title:engineer', 'job_title:health', 'job_title:photographer', 'job_title:time', 'last_name:alexis', 'place:leeds']"
6iL52nesi77,113411651446816733455,['gender:2']
6iL52nesi77,112609602594560475948,"['gender:2', 'job_title:consultant', 'job_title:development', 'job_title:it', 'job_title:manager,', 'job_title:project', 'job_title:web', 'last_name:eileen']"
