Circle Name,Node ID,Features
2zHAgD4xt3t,111499908439497508351,"['gender:1', 'institution:Google', 'job_title:google+', 'job_title:lead', 'job_title:manager,', 'job_title:mobile', 'job_title:product']"
2zHAgD4xt3t,114516047414042281846,"['gender:1', 'institution:Microsoft', 'job_title::', 'job_title:manager', 'job_title:mobile', 'job_title:technology,', 'last_name:chris', 'place:Chicago,', 'place:Fairfax,', 'place:Ithaca,', 'place:Oakland,', 'place:Philadelphia,', 'place:San', 'place:Seattle,', 'university:Illinois']"
2zHAgD4xt3t,113117251731252114390,"['gender:1', 'job_title:and', 'job_title:blogger', 'job_title:columnist', 'job_title:writer,', 'last_name:mike', 'university:UCLA']"
2zHAgD4xt3t,111091089527727420853,"['gender:1', 'institution:Microsoft', 'job_title:for', 'job_title:liaison', 'job_title:searching', 'job_title:startup', 'last_name:robert', 'university:Prospect', 'university:San']"
2zHAgD4xt3t,117283174365630308265,"['gender:1', 'job_title:life', 'last_name:dane']"
2zHAgD4xt3t,105237212888595777019,"['gender:1', 'job_title:a', 'job_title:at', 'job_title:camera', 'job_title:with', 'last_name:trey', 'place:Austin,', 'university:Southern']"
2zHAgD4xt3t,108588076582379537686,['gender:2']
2zHAgD4xt3t,110286587261352351537,"['gender:2', 'institution:Self', 'job_title:actress,', 'job_title:creator,', 'job_title:gamer', 'job_title:video', 'job_title:web', 'job_title:writer,', 'place:Austin,', 'place:Huntsville,', 'place:Louisville,', 'university:University']"
2zHAgD4xt3t,107982618909749811163,"['gender:2', 'job_title:and', 'job_title:ceo,', 'last_name:amanda']"
2zHAgD4xt3t,115121555137256496805,"['gender:1', 'job_title:contributor.', 'job_title:enthusiast.', 'place:Virginia', 'university:American']"
2zHAgD4xt3t,115135005437142391944,"['gender:1', 'job_title:photojournalist', 'job_title:retired']"
2zHAgD4xt3t,108152252385291870699,"['gender:2', 'job_title:to', 'job_title:you']"
2zHAgD4xt3t,117245298692605482770,"['gender:1', 'job_title:producer', 'job_title:video', 'last_name:loren']"
2zHAgD4xt3t,108176814619778619437,"['gender:1', 'job_title:actor', 'job_title:and', 'job_title:writer', 'place:Los', 'place:Pasadena,', 'place:Vancouver,']"
2zHAgD4xt3t,117245054937343378617,"['job_title:and', 'job_title:author,', 'job_title:designer', 'job_title:engineer', 'job_title:illustrator,', 'last_name:paul']"
