Community,Node ID,Features
Community 1,111297688846219234682,"['gender:1', 'job_title:cinematographer', 'last_name:eric']"
Community 1,116676102015840295235,"['gender:1', 'job_title:&', 'job_title:designs', 'job_title:graphics', 'job_title:web']"
Community 1,105976690877361609078,['gender:2']
Community 1,102271438573646882972,"['gender:1', 'institution:Freelance', 'job_title:and', 'job_title:developer', 'job_title:photographer', 'job_title:web', 'last_name:maxime']"
Community 1,114051322401103919567,"['gender:1', 'job_title:photographer', 'job_title:urban', 'last_name:juergen']"
Community 1,102855346468155011104,[]
Community 1,100605864222557374608,"['gender:1', 'job_title:ceo', 'last_name:marcelo']"
Community 1,104112700502285331526,"['gender:2', 'last_name:lee', 'place:Alexandria,', 'place:Greenwich,', 'place:Naples,', 'place:Rome,', 'place:Washington,']"
Community 1,104969644294937516031,"['gender:1', 'last_name:christoph']"
Community 1,108155571834093720799,"['gender:1', 'job_title:editor', 'job_title:filmmaker,', 'job_title:photographer,', 'last_name:isaac', 'university:Indiana']"
Community 1,109897370131343108161,"['gender:1', 'job_title:and', 'job_title:animal', 'job_title:fun', 'job_title:loving', 'job_title:photographer', 'job_title:professional']"
Community 1,118331204511078835845,"['gender:2', 'job_title:artist', 'job_title:b&w', 'job_title:collage', 'job_title:film', 'job_title:handmade', 'job_title:photo', 'job_title:photographer,', 'place:Brooklyn,', 'place:New', 'place:Silver']"
Community 1,117224070183789845933,"['gender:2', 'job_title:photographer', 'university:Massachusetts']"
Community 1,113158814439512755352,"['gender:2', 'job_title:&', 'job_title:-', 'job_title:.', 'job_title:art', 'job_title:beauty', 'job_title:editorial', 'job_title:fashion', 'job_title:fine', 'job_title:food', 'job_title:life', 'job_title:lifestyle', 'job_title:photographer', 'job_title:still', 'last_name:andrea', 'place:Australia', 'place:Canada', 'place:Europe', 'place:Texas', 'place:Washington']"
Community 1,100621204114976031079,"['gender:1', 'job_title:photographer', 'last_name:david', 'university:School']"
Community 1,109773123295959512976,"['gender:2', 'job_title:artist,', 'job_title:mother,', 'job_title:musician,', 'place:Malaysia', 'place:Singapore', 'place:United']"
Community 1,104392842026507204042,"['gender:1', 'job_title:photographer,', 'last_name:paul']"
Community 1,111144389496315143142,"['gender:2', 'job_title:artist', 'job_title:business', 'job_title:day', 'job_title:job', 'job_title:manager', 'job_title:of', 'job_title:photographer,', 'job_title:textile', 'job_title:with', 'last_name:deborah', 'place:Florida', 'place:Guam', 'place:Seattle,']"
Community 1,115305893755558429994,"['gender:2', 'last_name:kat']"
Community 1,103069435655954575455,"['gender:1', 'job_title:artist', 'job_title:photographer', 'job_title:visual', 'last_name:bryan', 'place:New', 'place:San']"
Community 1,110800760184496212592,"['gender:1', 'institution:American', 'job_title:photographer', 'last_name:michael']"
Community 1,117049109301535630849,"['gender:1', 'last_name:robert']"
Community 1,114754986248751812965,"['gender:1', 'job_title:creative', 'job_title:designer', 'job_title:enthusiast', 'job_title:mind', 'job_title:photography', 'job_title:web', 'last_name:ricardo']"
Community 1,108357794498664587643,"['gender:1', 'institution:', 'place:Paris']"
Community 1,105246828264278441318,"['gender:1', 'job_title:amateur', 'job_title:coder,', 'job_title:designer,', 'job_title:dreamer.', 'job_title:photographer,', 'last_name:peter', 'place:Columbus,']"
