Community,Node ID,Features
Community 1,107562302583176005973,[]
Community 1,117604474758066227896,['gender:2']
Community 1,116438477730966655432,"['gender:1', 'last_name:eric']"
Community 1,112565888022185219747,"['gender:1', 'job_title:director,', 'last_name:michael', 'place:Chicago,', 'university:Humboldt']"
Community 1,100605864222557374608,"['gender:1', 'job_title:ceo', 'last_name:marcelo']"
Community 1,104112700502285331526,"['gender:2', 'last_name:lee', 'place:Alexandria,', 'place:Naples,', 'place:Rome,', 'place:Washington,']"
Community 1,116608690343216001321,"['gender:1', 'institution:Photographer', 'job_title:photographer', 'last_name:michael', 'place:Atlanta,', 'place:New', 'place:Norfolk,', 'place:Orlando,', 'university:Rutgers']"
Community 1,111164095920889813531,"['gender:1', 'institution:Google', 'institution:eBay', 'job_title:&', 'job_title:@', 'job_title:google', 'job_title:local', 'last_name:jeff', 'place:Boston,', 'place:Champaign,', 'place:Chicago,', 'place:Los', 'place:San', 'university:Harvard', 'university:University']"
Community 1,100471039405682805612,"['gender:1', 'job_title:/', 'job_title:designer', 'job_title:graphic', 'job_title:photographer', 'last_name:philip']"
Community 1,101421435361785804366,[]
Community 1,104558996796696834366,"['gender:1', 'institution:', 'last_name:dave', 'place:Pittsburgh,']"
Community 1,116422773158129145495,"['gender:1', 'job_title:editor,', 'job_title:freelance', 'job_title:photo', 'job_title:photographer', 'job_title:photographer,', 'job_title:studio', 'place:hong']"
Community 1,101119568117646041384,"['gender:2', 'job_title:manager', 'last_name:samantha']"
Community 1,115431853773627038741,"['gender:1', 'institution:Miami-Dade', 'job_title:and', 'job_title:photographer', 'last_name:paul', 'place:Miami', 'place:Nashville']"
Community 1,116742396272396002804,"['gender:1', 'job_title:and', 'job_title:photography', 'job_title:portrait', 'job_title:wedding']"
Community 1,103806016066388243587,"['gender:1', 'institution:', 'job_title:-', 'job_title:photographer']"
Community 1,106563076987268237912,"['gender:1', 'job_title:&', 'job_title:author', 'job_title:photographer', 'last_name:jason', 'place:Colorado', 'place:Hollywood,', 'place:Los', 'place:Miami,', 'place:Orlando,', 'place:Riverside,', 'university:University', 'university:University']"
Community 1,113683173113414215373,"['gender:1', 'job_title:and', 'job_title:computer', 'job_title:multimedia', 'job_title:photographer,', 'job_title:problem', 'job_title:trainer,', 'last_name:kenneth', 'university:Stanford']"
Community 1,103201238410770468762,"['gender:1', 'institution:Google', 'job_title:advocate', 'job_title:developer', 'last_name:justin', 'place:Boston,', 'university:Boston']"
Community 1,103650951579527262798,"['gender:3', 'job_title:and', 'job_title:enthusiast', 'job_title:lover', 'job_title:picture', 'job_title:taker,']"
Community 1,115424061231268192015,[]
Community 1,102245160667846222465,"['gender:2', 'last_name:jennifer', 'place:Toronto']"
Community 1,107958711860940415885,"['gender:1', 'job_title:photographer', 'last_name:vincent']"
Community 1,108379995159495341811,[]
Community 1,116706588382945742404,['gender:1']
Community 1,105049612401300011029,[]
Community 1,106635473175875925613,[]
Community 1,101224766255596945219,"['gender:1', 'job_title:director', 'job_title:en', 'job_title:|', 'last_name:diego', 'place:Madrid', 'university:Uned']"
Community 1,116953382764220034830,"['gender:2', 'last_name:karen']"
Community 1,106541664466958079149,"['gender:2', 'job_title:and', 'job_title:contract', 'job_title:manager', 'job_title:photographer', 'job_title:portrait', 'job_title:professional', 'last_name:regina']"
